8.136266266681077593e-13,1.200276557374290252e-31,6.829579302813387716e-97,2.291578980269408840e-63,1.629718754417492323e-84,1.458497738807923641e-99,8.037386697705039049e-73
1.235839549886569349e-09,1.154838196884575598e-21,3.941601323215780276e-49,2.474342847366604127e-29,9.998244338955140615e-43,1.797638996493549809e-56,1.504950660888734926e-37
5.405701175373209849e-09,8.004663773677148888e-24,6.798305829022915760e-54,1.144603151592705883e-30,5.214657549800449497e-47,1.232265260323820884e-61,3.957231872396480685e-40
1.881684761798621076e-10,1.472356225247535183e-25,4.077123675285045454e-63,7.168130649021614729e-38,7.588369813996315422e-55,1.016730530168039368e-69,2.634961957158300534e-47
2.900512591798583168e-09,3.845224802389584894e-19,1.243372444117773953e-53,1.736136439680193231e-36,4.080752425927759776e-47,1.297576855129095862e-54,7.139290981754956933e-43
3.437141223546705595e-13,3.523187470337167871e-32,2.120201170043996567e-98,2.051418802349540673e-64,8.874888024263624029e-86,4.869496010304844429e-101,4.413189367594990753e-74
5.056563185180896317e-09,1.666552236125254864e-25,1.982483107037372713e-57,4.791540806851514436e-32,3.899694399613300913e-50,3.738935714251569468e-65,1.599090734472733279e-42
1.615698547594095989e-10,3.572924643993090670e-26,1.491433964448170073e-57,4.203262435195028245e-33,1.610326828028112371e-50,8.698077715367908049e-66,4.952280411933231902e-44
9.302361301128969765e-12,2.942374885357580175e-26,7.789896263827172548e-56,1.212708334102556652e-32,4.593405580743866711e-49,5.878139366656271537e-64,5.230561755911160549e-44
6.551801275322777592e-08,3.574842299106639502e-24,2.094794925938280947e-74,1.337615892161650023e-47,1.649568361632101025e-65,2.130270662578063792e-77,2.291750977614436175e-54
6.668736787322981738e-15,2.198126044422710896e-29,3.294419592699864851e-64,5.253176749604799360e-39,1.096790362211704391e-55,1.913984392078536951e-70,6.005270748098184554e-52
3.214725256155723486e-12,1.882174710081677637e-34,1.997243166179942608e-97,1.313916007965310313e-63,1.372932793442558272e-86,3.449693805274068880e-99,1.557730908900585801e-74
9.199421056097667952e-14,7.632216818052043571e-30,2.702596315119248482e-72,1.705033093199146389e-42,6.764114817962316113e-62,2.828349969304037734e-78,2.214008540832542069e-54
4.145992538177522958e-13,4.615646201451843056e-32,4.617163097755186951e-98,3.527560225621314224e-64,1.705393162588095887e-85,1.045619122184538956e-100,8.426759400412050370e-74
1.729226535447980629e-15,2.576944038738751541e-41,1.026985454900253530e-119,1.225447923396153256e-77,1.864635528852882051e-105,1.378453105370738872e-120,5.424557917417978141e-91
3.476956262381927209e-09,1.189935594203371031e-24,5.870863755672670293e-56,7.157329880534077743e-32,7.510695233978970263e-49,1.104712808194758856e-63,1.024378690804603387e-41
6.196024680180852738e-09,9.959346311140590844e-26,1.309334980562604303e-58,7.197117787520059221e-33,3.100467791571621738e-51,1.534695116362967723e-66,2.869408696195342508e-43
2.818533912382016442e-13,1.044446847178580814e-31,1.848384036429265089e-96,4.368285012649721867e-63,6.103037862717744186e-84,1.057221663441962899e-98,8.381703043625283284e-73
2.462678212782274316e-13,7.948431083708539995e-26,8.615141080226262875e-71,1.279112383837576149e-45,1.018693935687893763e-60,5.953641733991373339e-70,1.280175834221816762e-55
